Type,Name,JDate,Lat,Lon,Magnitude,Origin,Depth,Duration
AI,12 LM,2440546.4286689814,-3.94,-21.2,0,nakamura_1983_ai_locations,0,0
AI,13 S-IVB,2440691.548391204,-2.75,-27.86,0,nakamura_1983_ai_locations,0,0
AI,14 S-IVB,2440986.8200810184,-8.09,-26.02,0,nakamura_1983_ai_locations,0,0
AI,14 LM,2440989.531550926,-3.42,-19.67,0,nakamura_1983_ai_locations,0,0
AI,15 S-IVB,2441162.374097222,-1.51,-11.81,0,nakamura_1983_ai_locations,0,0
AI,15 LM,2441166.627511574,26.36,0.25,0,nakamura_1983_ai_locations,0,0
AI,17 S-IVB,2441662.3560416666,-4.21,-12.31,0,nakamura_1983_ai_locations,0,0
AI,17 LM,2441666.7849537036,19.99,30.51,0,nakamura_1983_ai_locations,0,0
MI,,2441320,70.76,2.71,0,gagnepian_2006_catalog,0,0
MI,,2441450,1.2,-16.49,0,gagnepian_2006_catalog,0,0
MI,,2441529,23.42,7.23,0,gagnepian_2006_catalog,0,0
MI,,2441558,15.19,20.57,0,gagnepian_2006_catalog,0,0
MI,,2441951,28.16,37.94,0,gagnepian_2006_catalog,0,0
MI,,2441955,33.14,137.69,0,gagnepian_2006_catalog,0,0
MI,,2442040,-17.94,-20.74,0,gagnepian_2006_catalog,0,0
MI,,2442156,7.64,-34.55,0,gagnepian_2006_catalog,0,0
MI,,2442245,20.35,6.49,0,gagnepian_2006_catalog,0,0
MI,,2442372,-8.88,21.73,0,gagnepian_2006_catalog,0,0
MI,,2442396,2.44,-8.07,0,gagnepian_2006_catalog,0,0
MI,,2442476,-49.93,3.42,0,gagnepian_2006_catalog,0,0
MI,,2442514,3.14,41.61,0,gagnepian_2006_catalog,0,0
MI,,2442536,-36.4,-121.3,0,gagnepian_2006_catalog,0,0
MI,,2442790,-38.17,59.78,0,gagnepian_2006_catalog,0,0
MI,,2442926,-14.33,-8.95,0,gagnepian_2006_catalog,0,0
MI,,2443096,21.54,-85.07,0,gagnepian_2006_catalog,0,0
MI,,2443250,-18.5,-59.98,0,gagnepian_2006_catalog,0,0
MI,,2443322,-9.82,-73.54,0,gagnepian_2006_catalog,0,0
SM,,2441577,11.99,49.33,0,gagnepian_2006_catalog,10,0
SM,,2441657,45.84,36.81,0,gagnepian_2006_catalog,2,0
SM,,2442239,25.01,87.09,0,gagnepian_2006_catalog,130,0
SM,,2442415,27.41,-90.57,0,gagnepian_2006_catalog,0,0
SM,,2442424,64.83,56.25,0,gagnepian_2006_catalog,68,0
