Type,Lat,Long,Depth,Phi,Delta-a,Delta-b,Depth_err,Date,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC
12 LM,-3.94,-21.2,0,0,0,0,0,6911202217,17.7,0,42.4,2,,,,,,,56.29,2,,,,,,
13 S-IVB,-2.75,-27.86,0,0,0,0,0,7004150209,41,0,68.8,0,,,,,,,89.04,2,,,,,,
14 S-IVB,-8.09,-26.02,0,0,0,0,0,7102040740,55.4,0,90.8,0,,,,,,,,,,,,,,
14 LM,-3.42,-19.67,0,0,0,0,0,7102070045,25.7,0,46.8,1,44.5,1,,,,,,,,,,,,
15 S-IVB,-1.51,-11.81,0,0,0,0,0,7107292058,42.9,0,97,1,79.7,0,,,,,,,,,,,,
15 LM,26.36,0.25,0,0,0,0,0,7108030303,37,0,,,,,64.5,0,,,,,,,,,,
16 S-IVB,1.3,-23.8,0,0,0,0,0,7204192102,4,0,31.4,0,47.5,0,150.9,0,,,,,,,,,,
17 S-IVB,-4.21,-12.31,0,0,0,0,0,7212102032,42.3,0,98,0,74.5,0,196.5,1,164.2,0,,,,,,,,
M,74.1,2.6,0,16,2.7,1.1,0,7201040631,19.72,1.7,318,2,315,1,215,1,,,542,2,,,350,1,,
M,1.5,-17.1,0,-52,0.3,0.2,0,7205130845,39.49,1,84.9,0,72.1,0,173.5,0,181,0,,,97.5,2,,,,
M,32.8,137.6,0,-47,1.3,1.1,0,7207172150,57.9,4.4,473.7,0,483,0,418.2,0,445.8,0,,,,,,,,
M,24,10.1,0,-7,0.7,0.3,0,7207311808,15.72,2.3,193.4,1,174.7,0,52.6,0,,,285,2,,,82,1,,
M,15.8,22.9,0,20,2.9,1.6,0,7208292258,33.57,3.5,,,210,2,132,2,145,2,,,344,2,190,2,,
M,28.7,41.1,0,39,4.1,2.4,0,7309262046,16.32,4.5,295,2,280,2,155,1,192,2,,,,,255,2,,
M,-24.8,-25.1,0,59,5.2,1.8,0,7312241003,19.35,4.5,119,1,113,1,250.9,1,190,2,,,,,,,,
M,7.4,-33.6,0,-5,2.2,0.9,0,7404191830,3.27,1.8,70.9,1,97,1,168.3,1,209.2,0,,,,,,,,
M,20.3,6.5,0,9,0.8,0.6,0,7407171205,2.89,3.7,153.4,1,148.7,1,40.6,1,132.1,1,,,,,69,2,,
M,-7.3,19.9,0,52,1,0.7,0,7411211315,40.79,2.2,222.9,1,193,1,182.7,2,70.5,0,,,,,,,,
M,1.6,-8.2,0,-85,1.3,0.5,0,7412150907,15.17,3.8,95.1,1,66.6,1,,,128.1,1,,,109.3,2,208.2,2,,
M,-52.4,4.2,0,-77,4,2.3,0,7503052149,22.3,7.2,236.1,2,225,2,,,209.7,2,398,2,,,,,330,2
M,2,43.2,0,-11,4.5,0.5,0,7504121812,38.22,0.7,298.1,0,277.8,1,220.6,0,162.1,1,,,,,,,,
M,-36.4,-121.3,0,-47,3.3,1.1,0,7505040959,28.99,2.3,360.6,0,376.1,0,436,1,413,0,,,,,,,,
M,-39.4,62.8,0,55,2.7,2,0,7601130711,22.8,6,332.7,1,338.1,2,333.8,1,236,1,,,,,,,357.9,2
M,-16.8,-10,0,67,2,0.6,0,7605280601,56.38,5.4,163.7,2,126.5,1,,,169,1,216,2,169,2,373,2,,
M,23.8,-73.9,0,37,1.8,0.8,0,761142313,6.67,0.9,228.6,0,246.9,0,273.8,1,337.7,0,,,,,,,,
M,-20.5,-63.8,0,23,1.8,0.8,0,7704712332,6.03,0.7,183.7,1,197.8,1,306.4,0,298.2,0,,,,,,,,
M,-13.5,-75.3,0,-84,7.7,3.1,0,7706282222,31.17,3.8,239.9,1,250,2,344,2,358.5,2,390,2,,,,,,
SH,12.8,51,,-20,2.9,109,109,7209171435,3,2.5,,,278,2,186,1,170,2,,,460,2,322,2,285,2
SH,48,38.2,10,58,3.2,110,110,7212062308,33.4,7.4,,,302,2,167,2,280,2,,,507,2,278,2,430,2
SH,21.9,82.6,2,-10,2.4,63,63,7407110046,18.26,1.3,377.1,1,365.4,2,296,2,297.7,0,655.9,2,,,485.1,2,,
SH,26.1,-92.7,0,42,2.4,38,38,7501030141,58.36,6.8,334.3,1,350.8,1,363.1,1,434.9,1,543,2,581,2,608,2,730,2
SH,64.1,59.9,0,59,1.8,14,14,7501120313,51.74,0.6,,,360,2,260,2,350,2,612.9,2,,,400,0,567.6,0
SH,-17,-26.1,21,44,3,112,112,7502132203,50.78,0.7,,,117.9,1,248,2,210,2,154.4,2,167.8,2,,,321.7,2
