Date,X (km),Y (km),Z (km)
2015-02-07 12:00,-110369996.62924522,89306912.46182688,38693186.13573812
2015-02-08 12:00,-112093526.74920551,87511602.47309335,37914884.62616105
2015-02-09 12:00,-113782372.1179437,85689296.83673681,37124880.062848486
2015-02-10 12:00,-115436030.6102097,83840571.39185703,36323422.07851257
2015-02-11 12:00,-117054011.90591614,81966009.8256705,35510763.708063446
2015-02-12 12:00,-118635837.63432214,80066203.45508718,34687161.293923244
2015-02-13 12:00,-120181041.51307361,78141751.00618541,33852874.390445165
2015-02-14 12:00,-121689169.48207904,76193258.39175795,33008165.6675112
2015-02-15 12:00,-123159779.8321775,74221338.48709856,32153300.81337717
2015-02-16 12:00,-124592443.32852352,72226610.9041853,31288548.436825164
2015-02-17 12:00,-125986743.32857865,70209701.76439075,30414179.968669206
2015-02-18 12:00,-127342275.89457257,68171243.4698091,29530469.56264276
2015-02-19 12:00,-128658649.90029825,66111874.47324166,28637693.995678727
2015-02-20 12:00,-129935487.13215682,64032239.04686101,27736132.56759026
2015-02-21 12:00,-131172422.38444589,61932987.049570285,26826067.00016741
2015-02-22 12:00,-132369103.54898366,59814773.69311811,25907781.33572994
2015-02-23 12:00,-133525191.69920836,57678259.30709211,24981561.835203584
2015-02-24 12:00,-134640361.16890788,55524109.10296359,24047696.875805415
2015-02-25 12:00,-135714299.62569258,53352992.93738475,23106476.84842924
2015-02-26 12:00,-136746708.13927045,51165585.07493734,22158194.054814644
2015-02-27 12:00,-137737301.2445355,48962563.950511694,21203142.604570817
2015-02-28 12:00,-138685806.99944842,46744611.931469366,20241618.3121135
2015-03-01 12:00,-139591967.03767145,44512415.0797188,19273918.59356317
2015-03-02 12:00,-140455536.6159171,42266662.91381405,18300342.363645487
2015-03-03 12:00,-141276284.65597543,40008048.171172306,17321189.93263102
2015-03-04 12:00,-142053993.78139448,37737266.570496425,16336762.903348945
2015-03-05 12:00,-142788460.34880203,35455016.57448121,15347364.068308469
2015-03-06 12:00,-143479494.47387263,33161999.152877603,14353297.3069617
