Date,X (km),Y (km),Z (km)
2015-02-07 12:00,-399614.83383000037,-13088.00866187086,-11449.363398705987
2015-02-08 12:00,-385832.1268015928,-90596.56461148451,-36972.24683601957
2015-02-09 12:00,-354388.684409313,-163783.13679114648,-60729.00791110909
2015-02-10 12:00,-306331.0470168032,-229132.0179965119,-81574.84781560299
2015-02-11 12:00,-243446.01178487155,-283266.2945697537,-98425.10136479585
2015-02-12 12:00,-168296.56152524299,-323068.1248119079,-110295.42142281024
2015-02-13 12:00,-84251.02586193857,-345841.7461715739,-116355.9811508824
2015-02-14 12:00,4523.939140714647,-349533.0222505992,-116003.75893380522
2015-02-15 12:00,93152.55375769339,-333003.8387095729,-108951.54190977915
2015-02-16 12:00,176275.15842197638,-296328.8698360547,-95321.94957285457
2015-02-17 12:00,248446.36867059473,-241040.41130697326,-75721.23072897726
2015-02-18 12:00,304687.92589598696,-170215.0440812967,-51257.99190309178
2015-02-19 12:00,341095.31988074054,-88308.29360481558,-23477.5889222369
2015-02-20 12:00,355334.2536910445,-720.0582724512312,5790.602053378529
2015-02-21 12:00,346876.82183449616,86815.79613484735,34639.43690135754
2015-02-22 12:00,316925.4254774862,168851.81559717696,61287.93835592557
2015-02-23 12:00,268092.16332146316,240706.89373728522,84234.3223405496
2015-02-24 12:00,203966.74112320913,298737.72814175516,102337.97170753156
2015-02-25 12:00,128695.13091426705,340419.75050052936,114838.49820346267
2015-02-26 12:00,46637.79081165102,364300.8941742898,121334.11920655989
2015-02-27 12:00,-37876.81477768475,369894.2089030619,121741.50434664314
2015-02-28 12:00,-120719.26338113278,357555.5893891866,116252.14311996463
2015-03-01 12:00,-198072.95034490994,328369.8114554015,105292.4579492924
2015-03-02 12:00,-266518.146387606,284050.8807898656,89489.239324169
2015-03-03 12:00,-323102.1617595039,226853.10224359448,69638.93712764209
2015-03-04 12:00,-365403.2615613456,159485.80741380845,46678.33608314823
2015-03-05 12:00,-391589.58708094526,85025.24904631043,21654.44257542306
2015-03-06 12:00,-400470.6264366854,6819.880618078314,-4307.630274751857
2015-03-07 12:00,-391537.842588396,-71611.57032981992,-30038.9223993047
2015-03-08 12:00,-364992.3565792101,-146687.55777001413,-54362.44732191371
2015-03-09 12:00,-321759.9600519382,-214874.64387558855,-76129.9040270331
2015-03-10 12:00,-263495.6773075366,-272801.6429814868,-94259.23874212445
2015-03-11 12:00,-192580.06292646643,-317380.2199570918,-107774.16588727536
2015-03-12 12:00,-112106.1542027198,-345939.0859533524,-115847.99028446745
2015-03-13 12:00,-25848.825559269724,-356381.2292652663,-117854.7092091044
2015-03-14 12:00,61802.41211463639,-347371.44408930646,-113429.47825441137
2015-03-15 12:00,145977.862890636,-318551.20760836196,-102536.96682805978
2015-03-16 12:00,221566.46836025253,-270756.78274194594,-85539.05128719301
2015-03-17 12:00,283586.23262848496,-206185.9918998151,-63243.44005693657
2015-03-18 12:00,327675.88436454977,-128431.85195545727,-36906.4791527553
2015-03-19 12:00,350633.36772389826,-42302.08501455449,-8164.724545152036
2015-03-20 12:00,350865.15917796845,46604.4554472107,21111.981390433135
2015-03-21 12:00,328601.18699360115,132498.69860256356,49021.86635591705
2015-03-22 12:00,285801.62997178844,210030.2214773649,73836.61692990443
2015-03-23 12:00,225799.59770086914,274783.265950184,94158.61066593585
2015-03-24 12:00,152811.39918284165,323548.0399645438,109001.95916840271
2015-03-25 12:00,71456.1447812439,354371.7423284995,117801.19997673275
2015-03-26 12:00,-13625.03728109569,366458.05317006726,120371.781790263
2015-03-27 12:00,-98024.77282819456,359997.12108340685,116849.77643622106
2015-03-28 12:00,-177718.99115137645,335987.62996733934,107630.7796475948
2015-03-29 12:00,-249145.9528101444,296083.17969623837,93318.01722463369
2015-03-30 12:00,-309248.9767775218,242471.6588218804,74681.94228624273
