Date,X (km),Y (km),Z (km)
2015-02-07 12:00,446814.5077595014,-81048.49071531516,-58090.16952134686
2015-02-08 12:00,447371.02506627265,-80287.2511062174,-57775.4245997953
2015-02-09 12:00,447926.42869682156,-79525.04406130001,-57460.23893525105
2015-02-10 12:00,448480.71514583274,-78761.87107863712,-57144.613377270456
2015-02-11 12:00,449033.88095521455,-77997.73346545217,-56828.54867341981
2015-02-12 12:00,449585.92267730524,-77232.63235735639,-56512.04547538501
2015-02-13 12:00,450136.8368446279,-76466.56873898467,-56195.10434650645
2015-02-14 12:00,450686.6199454636,-75699.54346513843,-55877.72577018795
2015-02-15 12:00,451235.2684045117,-74931.55728179532,-55559.91015876231
2015-02-16 12:00,451782.7785679504,-74162.6108465463,-55241.65786250755
2015-02-17 12:00,452329.14669226395,-73392.70474816466,-54922.96917859068
2015-02-18 12:00,452874.3689362418,-72621.83952509248,-54603.84435976327
2015-02-19 12:00,453418.4413556225,-71850.01568272155,-54284.28362268811
2015-02-20 12:00,453961.3599000334,-71077.23370952364,-53964.28715589125
2015-02-21 12:00,454503.1204117481,-70303.49409190085,-53643.855127220486
2015-02-22 12:00,455043.7186260177,-69528.79732787312,-53322.98769084816
2015-02-23 12:00,455583.15017268795,-68753.14393961577,-53001.6849937955
2015-02-24 12:00,456121.4105788876,-67976.53448491005,-52679.94718199013
2015-02-25 12:00,456658.4952726083,-67198.96956756957,-52357.77440587192
2015-02-26 12:00,457194.3995870275,-66420.44984690554,-52035.166825565684
2015-02-27 12:00,457729.11876545404,-65640.9760462918,-51712.12461564113
2015-02-28 12:00,458262.6479667989,-64860.548960887194,-51388.64796948074
2015-03-01 12:00,458794.98227149114,-64079.16946456758,-51064.737103275824
2015-03-02 12:00,459326.1166877772,-63296.838516113945,-50740.39225966921
2015-03-03 12:00,459856.0461583538,-62513.55716469647,-50415.613711061145
2015-03-04 12:00,460384.76556729386,-61729.32655468768,-50090.4017625922
2015-03-05 12:00,460912.26974723575,-60944.14792983092,-49764.75675481437
2015-03-06 12:00,461438.55348681216,-60158.02263678426,-49438.67906605911
2015-03-07 12:00,461963.6115383001,-59370.95212805296,-49112.169114507575
2015-03-08 12:00,462487.4386254775,-58582.93796431382,-48785.22735996393
2015-03-09 12:00,463010.0294516743,-57793.98181613382,-48457.85430533174
2015-03-10 12:00,463531.37870801025,-57004.085465070566,-48130.05049778652
2015-03-11 12:00,464051.4810818068,-56213.25080414078,-47801.81652963612
2015-03-12 12:00,464570.3312651651,-55421.47983763244,-47473.15303885514
2015-03-13 12:00,465087.9239636958,-54628.7746802282,-47144.06070927518
2015-03-14 12:00,465604.2539053858,-53835.13755539972,-46814.540270407895
